2025-12-05 21:28:35 | khan92 | code | 5.4 | 0.9
2025-12-05 21:28:35 | khan92 | chrome | 4.0 | 1.7
2025-12-05 21:28:35 | khan92 | chrome | 2.9 | 0.9
2025-12-05 21:28:35 | khan92 | chrome | 1.4 | 0.9
2025-12-05 21:29:05 | khan92 | ps | 200 | 0.0
2025-12-05 21:29:05 | khan92 | gnome-shell | 81.4 | 3.0
2025-12-05 21:29:05 | khan92 | chrome | 10.6 | 1.2
2025-12-05 21:29:05 | khan92 | code | 9.0 | 2.6
2025-12-05 21:29:05 | khan92 | chrome | 8.7 | 2.1
2025-12-05 21:29:05 | khan92 | chrome | 6.0 | 2.7
2025-12-05 21:29:05 | khan92 | chrome | 5.6 | 1.5
2025-12-05 21:29:05 | khan92 | code | 5.4 | 0.9
2025-12-05 21:29:05 | khan92 | chrome | 3.4 | 1.7
2025-12-05 21:29:05 | khan92 | chrome | 2.4 | 0.9
2025-12-05 21:29:35 | khan92 | gnome-shell | 81.5 | 3.0
2025-12-05 21:29:35 | khan92 | chrome | 50.9 | 2.6
2025-12-05 21:29:35 | khan92 | chrome | 11.2 | 0.8
2025-12-05 21:29:35 | khan92 | chrome | 10.4 | 1.3
2025-12-05 21:29:35 | khan92 | code | 9.0 | 2.6
2025-12-05 21:29:35 | khan92 | chrome | 8.4 | 2.1
2025-12-05 21:29:35 | khan92 | chrome | 6.0 | 2.7
2025-12-05 21:29:35 | khan92 | code | 5.4 | 0.9
2025-12-05 21:29:35 | khan92 | chrome | 2.9 | 1.7
2025-12-05 21:29:35 | khan92 | chrome | 2.5 | 0.4
2025-12-05 21:30:05 | khan92 | ps | 100 | 0.0
2025-12-05 21:30:05 | khan92 | gnome-shell | 81.2 | 3.1
2025-12-05 21:30:05 | khan92 | chrome | 22.2 | 0.4
2025-12-05 21:30:05 | khan92 | chrome | 17.1 | 1.9
2025-12-05 21:30:05 | khan92 | chrome | 10.0 | 1.3
2025-12-05 21:30:05 | khan92 | code | 9.0 | 2.6
2025-12-05 21:30:05 | khan92 | chrome | 7.5 | 1.7
2025-12-05 21:30:05 | khan92 | chrome | 5.8 | 2.7
2025-12-05 21:30:05 | khan92 | code | 5.4 | 1.0
2025-12-05 21:30:05 | khan92 | chrome | 3.3 | 0.8
2025-12-05 21:30:35 | khan92 | gnome-shell | 81.1 | 3.1
2025-12-05 21:30:35 | khan92 | chrome | 10.0 | 1.9
2025-12-05 21:30:35 | khan92 | chrome | 9.4 | 1.3
2025-12-05 21:30:35 | khan92 | code | 9.1 | 2.7
2025-12-05 21:30:35 | khan92 | chrome | 6.7 | 1.7
2025-12-05 21:30:35 | khan92 | code | 5.5 | 0.9
2025-12-05 21:30:35 | khan92 | chrome | 5.4 | 2.7
2025-12-05 21:30:35 | khan92 | chrome | 2.6 | 0.8
2025-12-05 21:30:35 | khan92 | chrome | 2.3 | 1.7
2025-12-05 21:30:35 | khan92 | code | 1.2 | 2.6
2025-12-05 21:31:05 | khan92 | ps | 100 | 0.0
2025-12-05 21:31:05 | khan92 | gnome-shell | 81.8 | 3.0
2025-12-05 21:31:05 | khan92 | code | 9.2 | 2.7
2025-12-05 21:31:05 | khan92 | chrome | 8.9 | 1.2
2025-12-05 21:31:05 | khan92 | chrome | 6.1 | 1.8
2025-12-05 21:31:05 | khan92 | code | 5.6 | 1.0
2025-12-05 21:31:05 | khan92 | chrome | 5.2 | 2.7
2025-12-05 21:31:05 | khan92 | chrome | 2.1 | 1.7
2025-12-05 21:31:05 | khan92 | chrome | 1.8 | 0.8
2025-12-05 21:31:05 | khan92 | chrome | 1.3 | 0.6
2025-12-05 21:31:35 | khan92 | gnome-shell | 82.3 | 3.0
2025-12-05 21:31:35 | khan92 | code | 9.1 | 2.7
2025-12-05 21:31:35 | khan92 | chrome | 8.9 | 1.2
2025-12-05 21:31:35 | khan92 | chrome | 5.6 | 1.7
2025-12-05 21:31:35 | khan92 | code | 5.6 | 0.9
2025-12-05 21:31:35 | khan92 | chrome | 5.4 | 2.3
2025-12-05 21:31:35 | khan92 | chrome | 5.2 | 2.7
2025-12-05 21:31:35 | khan92 | chrome | 1.5 | 0.8
2025-12-05 21:31:35 | khan92 | code | 1.2 | 2.6
2025-12-05 21:31:35 | khan92 | chrome | 1.1 | 0.9
2025-12-05 21:32:05 | khan92 | ps | 200 | 0.0
2025-12-05 21:32:05 | khan92 | gnome-shell | 81.5 | 3.0
2025-12-05 21:32:05 | khan92 | code | 9.1 | 2.7
2025-12-05 21:32:05 | khan92 | chrome | 8.7 | 1.3
2025-12-05 21:32:05 | khan92 | chrome | 5.7 | 2.4
2025-12-05 21:32:05 | khan92 | code | 5.6 | 0.9
2025-12-05 21:32:05 | khan92 | chrome | 5.1 | 1.7
2025-12-05 21:32:05 | khan92 | chrome | 5.1 | 2.7
2025-12-05 21:32:05 | khan92 | chrome | 1.2 | 0.8
2025-12-05 21:32:05 | khan92 | code | 1.1 | 2.6
2025-12-05 21:32:35 | khan92 | gnome-shell | 81.8 | 3.1
2025-12-05 21:32:35 | khan92 | code | 9.3 | 2.8
2025-12-05 21:32:35 | khan92 | chrome | 8.3 | 1.2
2025-12-05 21:32:35 | khan92 | code | 5.7 | 0.9
2025-12-05 21:32:35 | khan92 | chrome | 5.7 | 2.3
2025-12-05 21:32:35 | khan92 | chrome | 4.9 | 2.7
2025-12-05 21:32:35 | khan92 | chrome | 4.8 | 1.6
2025-12-05 21:32:35 | khan92 | code | 1.2 | 3.2
2025-12-05 21:32:35 | khan92 | chrome | 1.0 | 0.9
2025-12-05 21:32:35 | khan92 | chrome | 1.0 | 0.8
2025-12-05 21:33:05 | khan92 | ps | 200 | 0.0
2025-12-05 21:33:05 | khan92 | gnome-shell | 82.4 | 3.0
2025-12-05 21:33:05 | khan92 | code | 9.6 | 2.8
2025-12-05 21:33:05 | khan92 | chrome | 7.9 | 1.2
2025-12-05 21:33:05 | khan92 | code | 5.7 | 0.9
2025-12-05 21:33:05 | khan92 | chrome | 5.4 | 2.3
2025-12-05 21:33:05 | khan92 | chrome | 4.6 | 2.7
2025-12-05 21:33:05 | khan92 | chrome | 4.5 | 1.6
2025-12-05 21:33:05 | khan92 | code | 1.2 | 2.6
2025-12-05 21:33:05 | khan92 | chrome | 1.0 | 0.9
2025-12-05 21:33:35 | khan92 | gnome-shell | 82.2 | 3.1
2025-12-05 21:33:35 | khan92 | code | 9.7 | 2.6
2025-12-05 21:33:35 | khan92 | chrome | 7.5 | 1.2
2025-12-05 21:33:35 | khan92 | code | 5.8 | 0.9
2025-12-05 21:33:35 | khan92 | chrome | 5.2 | 2.3
2025-12-05 21:33:35 | khan92 | chrome | 4.4 | 2.7
2025-12-05 21:33:35 | khan92 | chrome | 4.2 | 1.6
2025-12-05 21:33:35 | khan92 | code | 1.2 | 2.6
2025-12-05 21:33:35 | khan92 | Xwayland | 1.0 | 0.6
2025-12-05 21:33:35 | khan92 | chrome | 0.9 | 0.9
2025-12-05 21:34:05 | khan92 | ps | 200 | 0.0
2025-12-05 21:34:05 | khan92 | gnome-shell | 82.0 | 3.0
2025-12-05 21:34:05 | khan92 | code | 9.9 | 2.8
2025-12-05 21:34:05 | khan92 | chrome | 7.2 | 1.2
2025-12-05 21:34:05 | khan92 | code | 5.8 | 0.9
2025-12-05 21:34:05 | khan92 | chrome | 5.1 | 2.3
2025-12-05 21:34:05 | khan92 | chrome | 4.2 | 2.7
2025-12-05 21:34:05 | khan92 | chrome | 3.9 | 1.6
2025-12-05 21:34:05 | khan92 | code | 1.2 | 2.6
2025-12-05 21:34:05 | khan92 | Xwayland | 1.0 | 0.6
2025-12-05 21:34:35 | khan92 | gnome-shell | 82.2 | 3.1
2025-12-05 21:34:35 | khan92 | code | 10.0 | 2.8
2025-12-05 21:34:35 | khan92 | chrome | 6.9 | 1.2
2025-12-05 21:34:35 | khan92 | code | 5.8 | 0.9
2025-12-05 21:34:35 | khan92 | chrome | 4.9 | 2.3
2025-12-05 21:34:35 | khan92 | chrome | 4.1 | 2.7
2025-12-05 21:34:35 | khan92 | chrome | 3.7 | 1.6
2025-12-05 21:34:35 | khan92 | code | 1.2 | 3.2
2025-12-05 21:34:35 | khan92 | Xwayland | 1.0 | 0.6
2025-12-05 21:34:35 | khan92 | code | 0.9 | 1.3
2025-12-05 21:34:41 | khan92 | gnome-shell | 82.0 | 3.1
2025-12-05 21:34:41 | khan92 | chrome | 10.5 | 0.7
2025-12-05 21:34:41 | khan92 | code | 10.1 | 2.8
2025-12-05 21:34:41 | khan92 | chrome | 6.9 | 1.2
2025-12-05 21:34:41 | khan92 | code | 5.8 | 1.0
